# category|method|path|label|operation_id

Firewall Actions|GET|/firewalls/actions/{id}|Get action|firewall_actions.get_global
Firewall Actions|GET|/firewalls/{id}/actions|List actions for firewall|firewall_actions.list
Firewall Actions|GET|/firewalls/{id}/actions/{action_id}|Get action for firewall|firewall_actions.get
Firewall Actions|POST|/firewalls/{id}/actions/apply_to_resources|Apply firewall to resources|firewall_actions.apply_to_resources
Firewall Actions|POST|/firewalls/{id}/actions/remove_from_resources|Remove firewall from resources|firewall_actions.remove_from_resources
Firewall Actions|POST|/firewalls/{id}/actions/set_rules|Set firewall rules|firewall_actions.set_rules

Load Balancers|GET|/load_balancers|List load balancers|load_balancers.list
Load Balancers|POST|/load_balancers|Create load balancer|load_balancers.create
Load Balancers|GET|/load_balancers/{id}|Get load balancer|load_balancers.get
Load Balancers|PUT|/load_balancers/{id}|Update load balancer|load_balancers.update
Load Balancers|DELETE|/load_balancers/{id}|Delete load balancer|load_balancers.delete
Load Balancers|GET|/load_balancers/{id}/metrics|Load balancer metrics|load_balancers.metrics
Load Balancer Actions|GET|/load_balancers/actions|List actions|load_balancer_actions.list_global
Load Balancer Actions|GET|/load_balancers/actions/{id}|Get action|load_balancer_actions.get_global
Load Balancer Actions|GET|/load_balancers/{id}/actions|List actions for load balancer|load_balancer_actions.list
Load Balancer Actions|GET|/load_balancers/{id}/actions/{action_id}|Get action for load balancer|load_balancer_actions.get
Load Balancer Actions|POST|/load_balancers/{id}/actions/add_service|Add service|load_balancer_actions.add_service
Load Balancer Actions|POST|/load_balancers/{id}/actions/add_target|Add target|load_balancer_actions.add_target
Load Balancer Actions|POST|/load_balancers/{id}/actions/attach_to_network|Attach to network|load_balancer_actions.attach_to_network
Load Balancer Actions|POST|/load_balancers/{id}/actions/change_algorithm|Change algorithm|load_balancer_actions.change_algorithm
Load Balancer Actions|POST|/load_balancers/{id}/actions/change_dns_ptr|Change DNS PTR|load_balancer_actions.change_dns_ptr
Load Balancer Actions|POST|/load_balancers/{id}/actions/change_protection|Change protection|load_balancer_actions.change_protection
Load Balancer Actions|POST|/load_balancers/{id}/actions/change_type|Change type|load_balancer_actions.change_type
Load Balancer Actions|POST|/load_balancers/{id}/actions/delete_service|Delete service|load_balancer_actions.delete_service
Load Balancer Actions|POST|/load_balancers/{id}/actions/detach_from_network|Detach from network|load_balancer_actions.detach_from_network
Load Balancer Actions|POST|/load_balancers/{id}/actions/disable_public_interface|Disable public interface|load_balancer_actions.disable_public_interface
Load Balancer Actions|POST|/load_balancers/{id}/actions/enable_public_interface|Enable public interface|load_balancer_actions.enable_public_interface
Load Balancer Actions|POST|/load_balancers/{id}/actions/remove_target|Remove target|load_balancer_actions.remove_target
Load Balancer Actions|POST|/load_balancers/{id}/actions/update_service|Update service|load_balancer_actions.update_service

Load Balancer Types|GET|/load_balancer_types|List load balancer types|load_balancer_types.list
Load Balancer Types|GET|/load_balancer_types/{id}|Get load balancer type|load_balancer_types.get

Networks|GET|/networks|List networks|networks.list
Networks|POST|/networks|Create network|networks.create
Networks|GET|/networks/{id}|Get network|networks.get
Networks|PUT|/networks/{id}|Update network|networks.update
Networks|DELETE|/networks/{id}|Delete network|networks.delete
Network Actions|GET|/networks/actions|List actions|network_actions.list_global
Network Actions|GET|/networks/actions/{id}|Get action|network_actions.get_global
Network Actions|GET|/networks/{id}/actions|List actions for network|network_actions.list
Network Actions|GET|/networks/{id}/actions/{action_id}|Get action for network|network_actions.get
Network Actions|POST|/networks/{id}/actions/add_route|Add route|network_actions.add_route
Network Actions|POST|/networks/{id}/actions/add_subnet|Add subnet|network_actions.add_subnet
Network Actions|POST|/networks/{id}/actions/change_ip_range|Change IP range|network_actions.change_ip_range
Network Actions|POST|/networks/{id}/actions/change_protection|Change network protection|network_actions.change_protection
Network Actions|POST|/networks/{id}/actions/delete_route|Delete route|network_actions.delete_route
Network Actions|POST|/networks/{id}/actions/delete_subnet|Delete subnet|network_actions.delete_subnet

DNS Zones|GET|/zones|List zones|zones.list
DNS Zones|POST|/zones|Create zone|zones.create
DNS Zones|GET|/zones/{id_or_name}|Get zone|zones.get
DNS Zones|PUT|/zones/{id_or_name}|Update zone|zones.update
DNS Zones|DELETE|/zones/{id_or_name}|Delete zone|zones.delete
DNS Zones|GET|/zones/{id_or_name}/zonefile|Export zonefile|zones.zonefile_export
DNS Zone Actions|GET|/zones/actions|List actions|zone_actions.list_global
DNS Zone Actions|GET|/zones/actions/{id}|Get action|zone_actions.get_global
DNS Zone Actions|GET|/zones/{id_or_name}/actions|List actions for zone|zone_actions.list
DNS Zone Actions|GET|/zones/{id_or_name}/actions/{action_id}|Get action for zone|zone_actions.get
DNS Zone Actions|POST|/zones/{id_or_name}/actions/change_primary_ns|Change primary nameserver|zone_actions.change_primary_ns
DNS Zone Actions|POST|/zones/{id_or_name}/actions/change_protection|Change zone protection|zone_actions.change_protection
DNS Zone Actions|POST|/zones/{id_or_name}/actions/change_ttl|Change default TTL|zone_actions.change_ttl
DNS Zone Actions|POST|/zones/{id_or_name}/actions/import_zonefile|Import zonefile|zone_actions.import_zonefile

DNS RRsets|GET|/zones/{id_or_name}/rrsets|List RRsets|rrsets.list
DNS RRsets|POST|/zones/{id_or_name}/rrsets|Create RRset|rrsets.create
DNS RRsets|GET|/zones/{id_or_name}/rrsets/{record_name}/{record_type}|Get RRset|rrsets.get
DNS RRsets|PUT|/zones/{id_or_name}/rrsets/{record_name}/{record_type}|Update RRset|rrsets.update
DNS RRsets|DELETE|/zones/{id_or_name}/rrsets/{record_name}/{record_type}|Delete RRset|rrsets.delete
DNS RRset Actions|GET|/zones/{id_or_name}/rrsets/actions|List actions|rrset_actions.list_global
DNS RRset Actions|GET|/zones/{id_or_name}/rrsets/actions/{id}|Get action|rrset_actions.get_global
DNS RRset Actions|GET|/zones/{id_or_name}/rrsets/{record_name}/{record_type}/actions|List actions for RRset|rrset_actions.list
DNS RRset Actions|GET|/zones/{id_or_name}/rrsets/{record_name}/{record_type}/actions/{action_id}|Get action for RRset|rrset_actions.get
DNS RRset Actions|POST|/zones/{id_or_name}/rrsets/{record_name}/{record_type}/actions/change_protection|Change RRset protection|rrset_actions.change_protection
DNS RRset Actions|POST|/zones/{id_or_name}/rrsets/{record_name}/{record_type}/actions/toggle_dnssec|Toggle DNSSEC|rrset_actions.toggle_dnssec

Certificates|GET|/certificates|List certificates|certificates.list
Certificates|POST|/certificates|Create certificate|certificates.create
Certificates|GET|/certificates/{id}|Get certificate|certificates.get
Certificates|PUT|/certificates/{id}|Update certificate|certificates.update
Certificates|DELETE|/certificates/{id}|Delete certificate|certificates.delete
Certificate Actions|GET|/certificates/actions|List actions|certificate_actions.list_global
Certificate Actions|GET|/certificates/actions/{id}|Get action|certificate_actions.get_global
Certificate Actions|GET|/certificates/{id}/actions|List actions for certificate|certificate_actions.list
Certificate Actions|GET|/certificates/{id}/actions/{action_id}|Get action for certificate|certificate_actions.get
Certificate Actions|POST|/certificates/{id}/actions/retry|Retry certificate validation|certificate_actions.retry

SSH Keys|GET|/ssh_keys|List SSH keys|ssh_keys.list
SSH Keys|POST|/ssh_keys|Create SSH key|ssh_keys.create
SSH Keys|GET|/ssh_keys/{id}|Get SSH key|ssh_keys.get
SSH Keys|PUT|/ssh_keys/{id}|Update SSH key|ssh_keys.update
SSH Keys|DELETE|/ssh_keys/{id}|Delete SSH key|ssh_keys.delete

Locations|GET|/locations|List locations|locations.list
Locations|GET|/locations/{id}|Get location|locations.get

Datacenters|GET|/datacenters|List datacenters|datacenters.list
Datacenters|GET|/datacenters/{id}|Get datacenter|datacenters.get

Billing|GET|/pricing|Get pricing information|pricing.get
